install_date,attribution_group,total_installs,users_with_login,install_to_login_rate_pct
2026-03-07,Unattributed,26,10,38.46
2026-03-08,Unattributed,11,2,18.18
2026-03-09,Unattributed,20,16,80.0
2026-03-10,Unattributed,10,5,50.0
2026-03-11,Unattributed,6,4,66.67
2026-03-12,Unattributed,13,11,84.62
2026-03-13,Unattributed,4,3,75.0
2026-03-14,Unattributed,2,2,100.0
2026-03-15,Unattributed,6,5,83.33
2026-03-16,Unattributed,8,5,62.5
2026-03-17,Unattributed,4,2,50.0
2026-03-18,Unattributed,1,1,100.0
2026-03-19,Unattributed,17,16,94.12
2026-03-20,Unattributed,49,24,48.98
2026-03-22,Unattributed,7,4,57.14
2026-03-23,Moloco,78,46,58.97
2026-03-23,Unattributed,415475,318198,76.59
2026-03-24,Moloco,9400,7232,76.94
2026-03-24,Unattributed,169694,125210,73.79
2026-03-25,Moloco,9426,6961,73.85
2026-03-25,Unattributed,86066,59818,69.5
2026-03-26,Moloco,5040,3627,71.96
2026-03-26,Unattributed,55563,37312,67.15
2026-03-27,Moloco,3818,2804,73.44
2026-03-27,Unattributed,41526,27944,67.29
2026-03-28,Moloco,4193,2984,71.17
2026-03-28,Unattributed,41976,28018,66.75
2026-03-29,Moloco,3945,2773,70.29
2026-03-29,Unattributed,37135,24389,65.68
2026-03-30,Moloco,2423,1698,70.08
2026-03-30,Unattributed,26812,17332,64.64
2026-03-31,Moloco,1877,1375,73.26
2026-03-31,Unattributed,22776,14951,65.64
2026-04-01,Moloco,1588,1130,71.16
2026-04-01,Unattributed,18994,12033,63.35
2026-04-02,Moloco,557,375,67.32
2026-04-02,Unattributed,16251,10114,62.24
2026-04-03,Moloco,362,253,69.89
2026-04-03,Unattributed,14560,9105,62.53
2026-04-04,Moloco,464,306,65.95
2026-04-04,Unattributed,16476,10381,63.01
2026-04-05,Moloco,353,217,61.47
2026-04-05,Unattributed,14267,8411,58.95
2026-04-06,Moloco,80,42,52.5
2026-04-06,Unattributed,3081,1391,45.15
