hour_utc,campaign_id,impressions,avg_win_price_usd,p50_win_price_usd
2026-03-26 06:00:00,BhTo5PHbtcsuQwkh,1,1.2E-5,1.2E-5
2026-03-26 07:00:00,BhTo5PHbtcsuQwkh,10,3.2E-5,1.3E-5
2026-03-26 07:00:00,VveaqT1OAcxlbXSv,25,1.7E-4,7.9E-5
2026-03-26 08:00:00,BhTo5PHbtcsuQwkh,49,2.7E-5,1.2E-5
2026-03-26 08:00:00,VveaqT1OAcxlbXSv,53,1.88E-4,1.02E-4
2026-03-26 09:00:00,BhTo5PHbtcsuQwkh,161,2.1E-5,1.2E-5
2026-03-26 09:00:00,VveaqT1OAcxlbXSv,81,4.8E-4,4.9E-5
2026-03-26 10:00:00,BhTo5PHbtcsuQwkh,751,2.76E-4,1.2E-5
2026-03-26 10:00:00,VveaqT1OAcxlbXSv,669,0.001405,8.3E-5
2026-03-26 11:00:00,BhTo5PHbtcsuQwkh,5579,2.82E-4,1.5E-5
2026-03-26 11:00:00,VveaqT1OAcxlbXSv,32799,6.54E-4,1.83E-4
2026-03-26 12:00:00,BhTo5PHbtcsuQwkh,29844,5.27E-4,4.0E-5
2026-03-26 12:00:00,VveaqT1OAcxlbXSv,91338,6.39E-4,2.15E-4
2026-03-26 13:00:00,BhTo5PHbtcsuQwkh,53199,0.001001,6.7E-5
2026-03-26 13:00:00,VveaqT1OAcxlbXSv,97965,6.27E-4,1.86E-4
2026-03-26 14:00:00,BhTo5PHbtcsuQwkh,48258,0.001036,6.3E-5
2026-03-26 14:00:00,VveaqT1OAcxlbXSv,121748,5.26E-4,1.84E-4
2026-03-26 15:00:00,BhTo5PHbtcsuQwkh,30883,0.001572,6.6E-5
2026-03-26 15:00:00,VveaqT1OAcxlbXSv,149192,5.61E-4,1.95E-4
2026-03-26 16:00:00,BhTo5PHbtcsuQwkh,21609,0.001423,5.5E-5
2026-03-26 16:00:00,VveaqT1OAcxlbXSv,136468,5.2E-4,1.89E-4
2026-03-26 17:00:00,BhTo5PHbtcsuQwkh,12800,0.002346,6.8E-5
2026-03-26 17:00:00,VveaqT1OAcxlbXSv,120807,6.95E-4,1.48E-4
2026-03-26 18:00:00,BhTo5PHbtcsuQwkh,8342,0.002166,7.2E-5
2026-03-26 18:00:00,VveaqT1OAcxlbXSv,116645,6.99E-4,1.37E-4
2026-03-26 19:00:00,BhTo5PHbtcsuQwkh,6879,0.002412,1.02E-4
2026-03-26 19:00:00,VveaqT1OAcxlbXSv,133726,6.11E-4,1.29E-4
2026-03-26 20:00:00,BhTo5PHbtcsuQwkh,7726,0.002591,1.47E-4
2026-03-26 20:00:00,VveaqT1OAcxlbXSv,143346,5.82E-4,1.23E-4
2026-03-26 21:00:00,BhTo5PHbtcsuQwkh,12260,0.002395,2.38E-4
2026-03-26 21:00:00,VveaqT1OAcxlbXSv,156495,6.74E-4,1.24E-4
2026-03-26 22:00:00,BhTo5PHbtcsuQwkh,19008,0.002043,1.98E-4
2026-03-26 22:00:00,VveaqT1OAcxlbXSv,136948,7.69E-4,1.31E-4
2026-03-26 23:00:00,BhTo5PHbtcsuQwkh,22839,0.001688,1.12E-4
2026-03-26 23:00:00,VveaqT1OAcxlbXSv,143465,8.11E-4,1.27E-4
2026-03-27 00:00:00,BhTo5PHbtcsuQwkh,20290,0.001626,1.0E-4
2026-03-27 00:00:00,VveaqT1OAcxlbXSv,139528,8.35E-4,1.22E-4
2026-03-27 01:00:00,BhTo5PHbtcsuQwkh,25912,0.001528,9.7E-5
2026-03-27 01:00:00,VveaqT1OAcxlbXSv,143765,7.41E-4,1.19E-4
2026-03-27 02:00:00,BhTo5PHbtcsuQwkh,25429,0.001353,8.1E-5
2026-03-27 02:00:00,VveaqT1OAcxlbXSv,141436,8.27E-4,1.17E-4
2026-03-27 03:00:00,BhTo5PHbtcsuQwkh,29465,0.001844,1.19E-4
2026-03-27 03:00:00,VveaqT1OAcxlbXSv,133452,0.001074,1.39E-4
2026-03-27 04:00:00,BhTo5PHbtcsuQwkh,25296,0.001409,8.6E-5
2026-03-27 04:00:00,VveaqT1OAcxlbXSv,63832,0.001405,1.89E-4
2026-03-27 05:00:00,BhTo5PHbtcsuQwkh,31608,0.001366,7.9E-5
2026-03-27 05:00:00,VveaqT1OAcxlbXSv,46498,0.001293,1.88E-4
2026-03-27 06:00:00,BhTo5PHbtcsuQwkh,35097,0.001414,8.4E-5
2026-03-27 06:00:00,VveaqT1OAcxlbXSv,28089,0.001441,1.99E-4
2026-03-27 07:00:00,BhTo5PHbtcsuQwkh,29019,0.001222,7.6E-5
2026-03-27 07:00:00,VveaqT1OAcxlbXSv,17041,0.001529,1.92E-4
2026-03-27 08:00:00,BhTo5PHbtcsuQwkh,31719,0.001368,8.9E-5
2026-03-27 08:00:00,VveaqT1OAcxlbXSv,19528,0.001409,2.27E-4
2026-03-27 09:00:00,BhTo5PHbtcsuQwkh,33197,0.001555,1.01E-4
2026-03-27 09:00:00,VveaqT1OAcxlbXSv,13891,0.001981,2.73E-4
2026-03-27 10:00:00,BhTo5PHbtcsuQwkh,31487,0.001388,7.8E-5
2026-03-27 10:00:00,VveaqT1OAcxlbXSv,20811,0.001653,2.91E-4
2026-03-27 11:00:00,BhTo5PHbtcsuQwkh,38028,0.00147,8.0E-5
2026-03-27 11:00:00,VveaqT1OAcxlbXSv,30817,0.001516,2.86E-4
2026-03-27 12:00:00,BhTo5PHbtcsuQwkh,39518,0.00143,7.0E-5
2026-03-27 12:00:00,VveaqT1OAcxlbXSv,47151,0.001369,2.66E-4
2026-03-27 13:00:00,BhTo5PHbtcsuQwkh,31380,0.001457,6.6E-5
2026-03-27 13:00:00,VveaqT1OAcxlbXSv,49184,0.001168,2.36E-4
2026-03-27 14:00:00,BhTo5PHbtcsuQwkh,341,0.008419,0.005702
2026-03-27 14:00:00,VveaqT1OAcxlbXSv,44630,0.001269,2.23E-4
2026-03-27 15:00:00,BhTo5PHbtcsuQwkh,30869,0.001677,6.5E-5
2026-03-27 15:00:00,VveaqT1OAcxlbXSv,68232,0.001096,2.13E-4
2026-03-27 16:00:00,BhTo5PHbtcsuQwkh,17648,0.001527,5.3E-5
2026-03-27 16:00:00,VveaqT1OAcxlbXSv,67783,0.001103,2.1E-4
2026-03-27 17:00:00,BhTo5PHbtcsuQwkh,14943,0.001791,6.0E-5
2026-03-27 17:00:00,VveaqT1OAcxlbXSv,72298,0.001091,2.29E-4
2026-03-27 18:00:00,BhTo5PHbtcsuQwkh,9734,0.001958,6.8E-5
2026-03-27 18:00:00,VveaqT1OAcxlbXSv,80130,0.001044,2.1E-4
2026-03-27 19:00:00,BhTo5PHbtcsuQwkh,7746,0.002174,1.0E-4
2026-03-27 19:00:00,VveaqT1OAcxlbXSv,84017,9.32E-4,1.97E-4
2026-03-27 20:00:00,BhTo5PHbtcsuQwkh,18686,0.011744,8.73E-4
2026-03-27 20:00:00,VveaqT1OAcxlbXSv,68678,0.004571,3.06E-4
2026-03-27 21:00:00,BhTo5PHbtcsuQwkh,39031,0.003995,4.67E-4
2026-03-27 21:00:00,VveaqT1OAcxlbXSv,214001,0.001824,5.18E-4
2026-03-27 22:00:00,BhTo5PHbtcsuQwkh,76545,0.002208,3.1E-4
2026-03-27 22:00:00,VveaqT1OAcxlbXSv,290205,0.001218,4.36E-4
2026-03-27 23:00:00,BhTo5PHbtcsuQwkh,100966,0.001467,2.69E-4
2026-03-27 23:00:00,VveaqT1OAcxlbXSv,346601,4.53E-4,2.74E-4
2026-03-28 00:00:00,BhTo5PHbtcsuQwkh,79459,7.5E-4,2.34E-4
2026-03-28 00:00:00,VveaqT1OAcxlbXSv,400635,3.98E-4,2.82E-4
2026-03-28 01:00:00,BhTo5PHbtcsuQwkh,328,0.004424,9.73E-4
2026-03-28 01:00:00,VveaqT1OAcxlbXSv,281,0.001984,5.23E-4
2026-03-28 02:00:00,BhTo5PHbtcsuQwkh,111,0.006468,9.04E-4
2026-03-28 02:00:00,VveaqT1OAcxlbXSv,89,0.001855,6.39E-4
2026-03-28 03:00:00,BhTo5PHbtcsuQwkh,70,0.002612,6.62E-4
2026-03-28 03:00:00,VveaqT1OAcxlbXSv,31,6.94E-4,6.34E-4
2026-03-28 04:00:00,BhTo5PHbtcsuQwkh,33,0.001713,7.41E-4
2026-03-28 04:00:00,VveaqT1OAcxlbXSv,7,5.42E-4,3.8E-4
2026-03-28 05:00:00,BhTo5PHbtcsuQwkh,11,0.001108,6.85E-4
2026-03-28 05:00:00,VveaqT1OAcxlbXSv,2,7.58E-4,7.4E-4
2026-03-28 06:00:00,BhTo5PHbtcsuQwkh,1,1.13E-4,1.13E-4
2026-03-28 15:00:00,BhTo5PHbtcsuQwkh,203662,2.29E-4,7.9E-5
2026-03-28 15:00:00,VveaqT1OAcxlbXSv,304567,2.41E-4,2.1E-4
2026-03-28 16:00:00,BhTo5PHbtcsuQwkh,130065,2.46E-4,8.1E-5
2026-03-28 16:00:00,VveaqT1OAcxlbXSv,333158,2.37E-4,2.11E-4
2026-03-28 17:00:00,BhTo5PHbtcsuQwkh,87937,3.04E-4,9.7E-5
2026-03-28 17:00:00,VveaqT1OAcxlbXSv,328376,2.29E-4,2.05E-4
2026-03-28 18:00:00,BhTo5PHbtcsuQwkh,57266,3.76E-4,1.2E-4
2026-03-28 18:00:00,VveaqT1OAcxlbXSv,351076,2.2E-4,1.95E-4
2026-03-28 19:00:00,BhTo5PHbtcsuQwkh,42536,4.0E-4,1.32E-4
2026-03-28 19:00:00,VveaqT1OAcxlbXSv,381625,2.14E-4,1.89E-4
2026-03-28 20:00:00,BhTo5PHbtcsuQwkh,39227,4.29E-4,1.39E-4
2026-03-28 20:00:00,VveaqT1OAcxlbXSv,412792,2.08E-4,1.81E-4
2026-03-28 21:00:00,BhTo5PHbtcsuQwkh,78955,2.81E-4,1.34E-4
2026-03-28 21:00:00,VveaqT1OAcxlbXSv,476643,2.0E-4,1.69E-4
2026-03-28 22:00:00,BhTo5PHbtcsuQwkh,84064,2.5E-4,1.18E-4
2026-03-28 22:00:00,VveaqT1OAcxlbXSv,530501,1.81E-4,1.45E-4
2026-03-28 23:00:00,BhTo5PHbtcsuQwkh,163935,5.17E-4,1.41E-4
2026-03-28 23:00:00,VveaqT1OAcxlbXSv,559281,2.44E-4,1.51E-4
