date,attr_pb,unattr_pb,total_pb,attr_pct,spend_usd
2026-02-01,204,3750,3954,5.16,138.35
2026-02-02,302,3747,4049,7.46,129.18
2026-02-03,322,3353,3675,8.76,135.16
2026-02-04,350,3210,3560,9.83,135.73
2026-02-05,310,2542,2852,10.87,130.86
2026-02-06,280,2020,2300,12.17,127.52
2026-02-07,90,1691,1781,5.05,132.67
2026-02-08,91,1847,1938,4.70,140.00
2026-02-09,272,2033,2305,11.80,129.92
2026-02-10,305,1987,2292,13.31,132.31
2026-02-11,225,2022,2247,10.01,136.14
2026-02-12,350,2243,2593,13.50,134.60
2026-02-13,290,2138,2428,11.94,115.73
2026-02-14,145,1473,1618,8.96,65.12
2026-02-15,119,1254,1373,8.67,69.73
2026-02-16,123,1062,1185,10.38,66.42
2026-02-17,202,1351,1553,13.01,65.88
2026-02-18,162,1515,1677,9.66,96.12
2026-02-19,437,2257,2694,16.22,170.20
2026-02-20,397,1962,2359,16.83,168.53
2026-02-21,167,1340,1507,11.08,167.81
2026-02-22,125,1442,1567,7.98,177.08
2026-02-23,320,1900,2220,14.41,164.58
2026-02-24,316,1942,2258,13.99,172.73
2026-02-25,352,2437,2789,12.62,170.45
2026-02-26,453,2995,3448,13.14,173.03
2026-02-27,220,2181,2401,9.16,166.65
2026-02-28,100,1155,1255,7.97,119.90
2026-03-01,7,1054,1061,0.66,0.00
2026-03-02,1,1485,1486,0.07,0.00
2026-03-03,1,4785,4786,0.02,0.00
2026-03-04,0,4659,4659,0.00,0.00
2026-03-05,1,4058,4059,0.02,0.00
2026-03-06,96,3143,3239,2.96,152.84
2026-03-07,66,2524,2590,2.55,202.42
2026-03-08,45,2389,2434,1.85,219.49
2026-03-09,206,2244,2450,8.41,214.18
2026-03-10,197,2000,2197,8.97,198.90
2026-03-11,187,1843,2030,9.21,237.62
2026-03-12,138,1864,2002,6.89,233.63
2026-03-13,110,1616,1726,6.37,187.96
2026-03-14,6,1439,1445,0.42,34.34
2026-03-15,5,1290,1295,0.39,96.81
2026-03-16,118,1571,1689,6.99,231.03
2026-03-17,118,1490,1608,7.34,226.04
2026-03-18,205,1848,2053,9.99,318.61
2026-03-19,375,2575,2950,12.71,358.57
2026-03-20,461,2858,3319,13.89,251.29
2026-03-21,7,940,947,0.74,34.08
2026-03-22,9,1119,1128,0.80,128.31
2026-03-23,112,1602,1714,6.53,354.50
2026-03-24,74,1645,1719,4.30,365.86
2026-03-25,81,1930,2011,4.03,351.86
2026-03-26,68,1805,1873,3.63,347.66
2026-03-27,56,1523,1579,3.55,272.16
2026-03-28,4,1229,1233,0.32,44.15
2026-03-29,5,1305,1310,0.38,147.21
2026-03-30,61,1530,1591,3.83,361.88
2026-03-31,82,3490,3572,2.30,334.01
2026-04-01,57,3671,3728,1.53,259.55
2026-04-02,39,2174,2213,1.76,259.66
2026-04-03,30,1528,1558,1.93,202.57
2026-04-04,18,1217,1235,1.46,211.58
2026-04-05,14,1288,1302,1.08,212.65
2026-04-06,20,1572,1592,1.26,203.74
2026-04-07,18,1494,1512,1.19,217.84
2026-04-08,18,1839,1857,0.97,252.27
2026-04-09,12,1560,1572,0.76,280.31
2026-04-10,16,1540,1556,1.03,271.78
2026-04-11,10,1074,1084,0.92,270.65
2026-04-12,10,1255,1265,0.79,294.98
2026-04-13,35,1794,1829,1.91,272.46
2026-04-14,33,1983,2016,1.64,278.27
2026-04-15,26,2067,2093,1.24,304.40
2026-04-16,33,2171,2204,1.50,195.31
2026-04-17,38,2155,2193,1.73,191.09
2026-04-18,18,1491,1509,1.19,195.07
