unified_id,app_name,publisher,category,release_date,last_updated,ios_file_size_bucket,release_month
692f08a068cf8e6e27ddd4cb,Red Dead Redemption,Take-Two Interactive,"Games, Games/Action, Games/Adventure",2025-12-04,2026-03-04,>=3GB,2025-12
64efb686dcf7af470489eb89,Rainbow Six Mobile,Ubisoft,"Games, Games/Action",2026-02-23,2026-03-05,>=3GB,2026-02
6838fcfb0c4851bac2097fb0,Destiny: Rising,NetEase,"Games, Games/Action, Games/Adventure",2025-08-31,2026-01-22,>=3GB,2025-08
68e85f7dc279e70adf9b7307,BLEACH: Soul Resonance,ByteDance,"Games, Games/Role Playing, Games/Action",2025-11-20,2026-02-04,>=3GB,2025-11
6809e8dfb05f4cbbdac47909,Blue Protocol: Star Resonance,XD,"Games, Games/Role Playing, Games/Action",2025-12-17,2025-12-10,>=3GB,2025-12
68cc24bbe62f9441888a7c93,Stella Sora,Yostar,"Games, Games/Role Playing, Games/Action",2025-10-19,2025-12-23,>=3GB,2025-10
67acb7045d25a7783c5327ba,Mecharashi,TenTree Games,"Strategy, Game",2025-07-24,2026-02-13,>=3GB,2025-07
68acd646065944165ec035ad,HITMAN World of Assassination,IO Interactive A/S,"Games, Games/Action, Games/Simulation",2025-08-27,2026-02-25,>=3GB,2025-08
69400056f2095209dc16393a,Three Kingdoms: World Conquest,Rastar,"Games, Games/Strategy, Entertainment, Games/Role Playing",2026-01-22,2026-02-12,>=3GB,2026-01
694cc8588d09d7904a1d52e4,Thiếu Niên 3Q: Khởi Nguyên,Appota,"Strategy, Game",2026-01-21,2026-02-13,>=3GB,2026-01
61e1525e13352d2208adb12a,幻唐志官方助手,Chengdu Liwei Network Technology,"Games, Games/Strategy, Games/Role Playing, Entertainment",2025-08-19,2026-02-05,>=3GB,2025-08
683f940547e09ea2f02e0cd8,The Braves — Исекай-Выживший,101XP,"Games, Games/Adventure, Games/Action",2025-08-19,2026-02-02,>=3GB,2025-08
6943852470f042f31f5d6f42,COMPLEXO FAVELA,Bruno Santa,"Action, Game",2025-12-25,2026-02-28,>=3GB,2025-12
697c26230c6839adb8e01b95,千年3D：經典重生,fist-game,"Games, Games/Action, Games/Role Playing",2026-02-24,2026-03-05,>=3GB,2026-02
6825418f28239ec08c5b2a5b,Moonray: Battle Lands,Moonray PBC,"Games, Games/Action",2025-08-14,2025-08-14,>=3GB,2025-08
691961c8b320f50dd8af8de6,Miiridian Prime,Moonray PBC,"Games, Games/Action",2025-11-14,2025-11-25,>=3GB,2025-11
67550550ea8990fe7f2d9704,魔狩战纪,Yichang Zihua Network Technology,"Games, Games/Strategy, Games/Role Playing",2026-01-13,2025-03-07,>=3GB,2026-01
