bundle_id,app_name,moloco_genre,release_date,d0_d30_spend_usd,install_users_7d,login_users_7d,has_login_event
com.funcat.tgbtcru,Tokyo Ghoul: Break The Chains,rpg,2025-06-11,31905.000000000,3276,9751,True
com.gf.wafh5krkr.hwyad.google,오피스 퀸 키우기,rpg,2025-05-06,75065.000000000,3102,5417,True
com.wishhex.honey,Hex & Honey,rpg,2025-06-07,67441.000000000,655,2153,True
com.marsru.refantasia.android,Refantasia: Чаруй и властвуй,strategy,2025-06-06,22328.000000000,97,784,True
com.dungeonbattle2.android,손가락 나갔다: 던전팡팡,rpg,2025-07-03,16313.000000000,70,661,True
com.global.lootru,Lootborn Warriors,rpg,2025-06-04,65074.000000000,586,296,True
com.global.loot,Lootborn Warriors,rpg,2025-06-04,67053.000000000,581,280,True
com.pergame.starlitedenru,Stellar Sanctuary,strategy,2025-08-07,18750.000000000,33,239,True
com.kingkongsoft.sh4.g,용칼이 키우기 : 용가리알 무한 지급!,rpg,2025-07-01,19924.000000000,79,160,True
com.wan.lzgtwan,Dragon Nest M: Classic,rpg,2025-05-27,23587.000000000,5426,0,False
com.mergegame.merge.plus,Mega Win Merge,rpg,2025-10-07,21313.000000000,14,0,False
com.warvow.omgoogle,War Vow,strategy,2025-08-29,37456.000000000,15455,0,False
com.netease.yysls,Where Winds Meet,rpg,2025-12-06,51154.000000000,196576,0,False
com.and.kcsg.kr,What the Bug: Three Kingdoms,rpg,2025-06-04,74520.000000000,71,0,False
com.hollowecho.whispercella,Whisper Cellar,strategy,2025-08-05,308313.000000000,46,0,False
com.egyptmat.ch,Dodge Block Snake,strategy,2025-03-10,23337.000000000,0,0,False
com.ulugame.hdqykrob.google,아케론:종말의 서곡,rpg,2025-05-07,43651.000000000,3602,0,False
ru.playme8.da,Wheel Pop: Tap for Prizes,rpg,2025-08-11,25841.000000000,0,0,False
com.xh.penguin.android,펭귄 대모험 : 꽁꽁 방어전,strategy,2025-07-11,108689.000000000,0,0,False
